season,player,actual_pos,pred_pos,pred,act
2024,John McGinn,Central Midfield,Central Midfield,CM,CM
2024,Ollie Watkins,Centre-Forward,Centre-Forward,CF,CF
2024,Douglas Luiz,Central Midfield,Central Midfield,CM,CM
2024,Leon Bailey,Left Winger,Left Winger,LW,LW
2024,Matty Cash,Right-Back,Central Midfield,CM,RB
2024,Ezri Konsa,Centre-Back,Centre-Back,CB,CB
2024,Youri Tielemans,Central Midfield,Central Midfield,CM,CM
2024,Lucas Digne,Left-Back,Central Midfield,CM,LB
2024,Boubacar Kamara,Defensive Midfield,Defensive Midfield,DM,DM
2024,Ryan Christie,Attacking Midfield,Central Midfield,CM,AM
2024,Dominic Solanke,Centre-Forward,Centre-Forward,CF,CF
2024,Illia Zabarnyi,Centre-Back,Centre-Back,CB,CB
2024,Marcos Senesi,Centre-Back,Defensive Midfield,DM,CB
2024,Marcus Tavernier,Left Winger,Right Winger,RW,LW
2024,Antoine Semenyo,Right Winger,Centre-Forward,CF,RW
2024,Philip Billing,Central Midfield,Centre-Forward,CF,CM
2024,Lewis Cook,Central Midfield,Defensive Midfield,DM,CM
2024,Justin Kluivert,Left Winger,Centre-Forward,CF,LW
2024,Milos Kerkez,Left-Back,Right-Back,RB,LB
2024,Vitaly Janelt,Defensive Midfield,Central Midfield,CM,DM
2024,Christian Nørgaard,Defensive Midfield,Defensive Midfield,DM,DM
2024,Ethan Pinnock,Centre-Back,Centre-Back,CB,CB
2024,Mads Roerslev,Right-Back,Central Midfield,CM,RB
2024,Yoane Wissa,Left Winger,Centre-Forward,CF,LW
2024,Nathan Collins,Centre-Back,Centre-Back,CB,CB
2024,Mathias Jensen,Central Midfield,Central Midfield,CM,CM
2024,Neal Maupay,Centre-Forward,Centre-Forward,CF,CF
2024,Keane Lewis-Potter,Left Winger,Centre-Forward,CF,LW
2024,Frank Onyeka,Central Midfield,Centre-Forward,CF,CM
2024,Evan Ferguson,Centre-Forward,Centre-Forward,CF,CF
2024,Billy Gilmour,Defensive Midfield,Central Midfield,CM,DM
2024,Pascal Groß,Central Midfield,Central Midfield,CM,CM
2024,Lewis Dunk,Centre-Back,Centre-Back,CB,CB
2024,João Pedro,Centre-Forward,Centre-Forward,CF,CF
2024,Jan Paul van Hecke,Centre-Back,Centre-Back,CB,CB
2024,Simon Adingra,Left Winger,Left Winger,LW,LW
2024,Facundo Buonanotte,Attacking Midfield,Centre-Forward,CF,AM
2024,Adam Lallana,Attacking Midfield,Centre-Forward,CF,AM
2024,Kaoru Mitoma,Left Winger,Left Winger,LW,LW
2024,Zeki Amdouni,Centre-Forward,Left Winger,LW,CF
2024,Sander Berge,Defensive Midfield,Central Midfield,CM,DM
2024,Josh Brownhill,Central Midfield,Central Midfield,CM,CM
2024,Dara O'Shea,Centre-Back,Centre-Back,CB,CB
2024,Jacob Bruun Larsen,Left Winger,Centre-Forward,CF,LW
2024,Vitinho,Right-Back,Central Midfield,CM,RB
2024,Jóhann Berg Guðmundsson,Right Winger,Centre-Forward,CF,RW
2024,Charlie Taylor,Left-Back,Centre-Back,CB,LB
2024,Wilson Odobert,Left Winger,Left Winger,LW,LW
2024,Jay Rodriguez,Centre-Forward,Centre-Forward,CF,CF
2024,Conor Gallagher,Central Midfield,Central Midfield,CM,CM
2024,Axel Disasi,Centre-Back,Centre-Back,CB,CB
2024,Raheem Sterling,Left Winger,Left Winger,LW,LW
2024,Moisés Caicedo,Defensive Midfield,Defensive Midfield,DM,DM
2024,Levi Colwill,Centre-Back,Centre-Back,CB,CB
2024,Enzo Fernández,Central Midfield,Central Midfield,CM,CM
2024,Nicolas Jackson,Centre-Forward,Centre-Forward,CF,CF
2024,Thiago Silva,Centre-Back,Centre-Back,CB,CB
2024,Cole Palmer,Attacking Midfield,Attacking Midfield,AM,AM
2024,Mykhailo Mudryk,Left Winger,Left Winger,LW,LW
2024,Joachim Andersen,Centre-Back,Centre-Back,CB,CB
2024,Tyrick Mitchell,Left-Back,Right-Back,RB,LB
2024,Jordan Ayew,Centre-Forward,Left Winger,LW,CF
2024,Jean-Philippe Mateta,Centre-Forward,Centre-Forward,CF,CF
2024,Marc Guéhi,Centre-Back,Centre-Back,CB,CB
2024,Jefferson Lerma,Defensive Midfield,Central Midfield,CM,DM
2024,Odsonne Édouard,Centre-Forward,Centre-Forward,CF,CF
2024,Will Hughes,Central Midfield,Central Midfield,CM,CM
2024,Jeffrey Schlupp,Left Midfield,Centre-Forward,CF,LM
2024,Joel Ward,Right-Back,Centre-Back,CB,RB
2024,James Tarkowski,Centre-Back,Centre-Back,CB,CB
2024,James Garner,Defensive Midfield,Central Midfield,CM,DM
2024,Jarrad Branthwaite,Centre-Back,Centre-Back,CB,CB
2024,Dwight McNeil,Left Winger,Right Winger,RW,LW
2024,Dominic Calvert-Lewin,Centre-Forward,Centre-Forward,CF,CF
2024,Beto,Centre-Forward,Centre-Forward,CF,CF
2024,Vitaliy Mykolenko,Left-Back,Defensive Midfield,DM,LB
2024,Abdoulaye Doucouré,Central Midfield,Centre-Forward,CF,CM
2024,Jack Harrison,Right Winger,Centre-Forward,CF,RW
2024,Amadou Onana,Defensive Midfield,Central Midfield,CM,DM
2024,Andreas Pereira,Attacking Midfield,Central Midfield,CM,AM
2024,Antonee Robinson,Left-Back,Right-Back,RB,LB
2024,Tom Cairney,Central Midfield,Central Midfield,CM,CM
2024,Harry Wilson,Right Winger,Centre-Forward,CF,RW
2024,Timothy Castagne,Right-Back,Right-Back,RB,RB
2024,Bobby Reid,Attacking Midfield,Centre-Forward,CF,AM
2024,João Palhinha,Defensive Midfield,Centre-Back,CB,DM
2024,Willian,Left Winger,Central Midfield,CM,LW
2024,Harrison Reed,Central Midfield,Central Midfield,CM,CM
2024,Alex Iwobi,Attacking Midfield,Right Winger,RW,AM
2024,Luis Díaz,Left Winger,Centre-Forward,CF,LW
2024,Cody Gakpo,Left Winger,Centre-Forward,CF,LW
2024,Darwin Núñez,Centre-Forward,Centre-Forward,CF,CF
2024,Virgil van Dijk,Centre-Back,Centre-Back,CB,CB
2024,Harvey Elliott,Attacking Midfield,Centre-Forward,CF,AM
